Row.names	AA	eff	DGE	TF	other	relevance	total	Best.hit.arabi.name	arabi.symbol	arabi.defline	description
Gohir.A01G086500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G55530	none	Calcium-dependent lipid-binding (CaLB domain) family protein	.
Gohir.A01G087900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G13110	CYP71B7	cytochrome P450 family 71 subfamily B polypeptide 7	.
Gohir.A01G093300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G55820	none	Kinase-related protein of unknown function (DUF1296)	.
Gohir.A01G096200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G30070	ATKT1ATKT1PATKUP1KT1KUP1	potassium transporter 1	.
Gohir.A01G097100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G03240	none	EXS (ERD1/XPR1/SYG1) family protein	.
Gohir.A01G098300	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT5G64330	JK218NPH3RPT3	Phototropic-responsive NPH3 family protein	Plant growth
Gohir.A01G098800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G55790	none	Domain of unknown function (DUF2431)	.
Gohir.A01G098900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G55790	none	Domain of unknown function (DUF2431)	.
Gohir.A01G099200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G17270	none	Protein prenylyltransferase superfamily protein	.
Gohir.A01G100800	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G79280	AtTPRNUA	nuclear pore anchor	Mutations affect flowering time regulation and other developmental processes. Probably acts in the same pathway as ESD4 in affecting flowering time vegetative and inflorescence development.
Gohir.A01G101500	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G20980	ATSPL14FBR6SPL14SPL1R2	squamosa promoter binding protein-like 14	 It unctions as a transcriptional regulator that plays a role not only in sensitivity to FB1 but also in the development of normal plant architecture.
Gohir.A01G101900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G33620	none	AT hook motif DNA-binding family protein	.
Gohir.A01G103800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G20760	none	Calcium-binding EF hand family protein	.
Gohir.A01G105100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G50160	none	Plant protein of unknown function (DUF247)	.
Gohir.A01G107000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G35240	none	Protein of unknown function (DUF630 and DUF632)	.
Gohir.A01G144900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G59960	none	NAD(P)-linked oxidoreductase superfamily protein	.
Gohir.A01G145200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G01940	ATIDD15SGR5	C2H2-like zinc finger protein	.
Gohir.A01G145400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G45220	none	Plant invertase/pectin methylesterase inhibitor superfamily	.
Gohir.A05G295700	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G14460	none	LRR and NB-ARC domains-containing disease resistance protein	.
Gohir.A05G298300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G14460	none	LRR and NB-ARC domains-containing disease resistance protein	.
Gohir.A12G030900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G14520	none	CBS domain-containing protein with a domain of unknown function (DUF21)	.
Gohir.A12G036700	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G20200	EMB2719HAP15	PAM domain (PCI/PINT associated module) protein	.
Gohir.A12G037300	TRUE	TRUE	FALSE	FALSE	TRUE	0	3	AT4G35020	ARAC3ATROP6RAC3RHO1PSROP6	RAC-like 3	.
Gohir.A12G037600	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT4G38600	KAKUPL3	HEAT repeat ;HECT-domain (ubiquitin-transferase)	encodes a member of HECT ubiquitin protein ligase family that is involved in trichome cell morphogenesis. Mutants in this gene exhibit supernumerary trichome branches and increased DNA content.
Gohir.A12G038300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G16640	ATTOC132TOC132	multimeric translocon complex in the outer envelope membrane 132	.
Gohir.A12G041700	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G62020	none	Coatomer alpha subunit	.
Gohir.A12G045800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G34660	ATMRP2EST4MRP2	multidrug resistance-associated protein 2	.
Gohir.D05G103900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G28315	none	Nucleotide/sugar transporter family protein	.
Gohir.D05G107000	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT2G28110	FRA8IRX7	Exostosin family protein	It is expressed specifically in developing vessels and fiber cells and FRA8 is targeted to Golgi. Mutants have irregular xylem formation reduced cellulose levels and plants are smaller than normal siblings.
Gohir.D05G108300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G18640	MRH1	Leucine-rich repeat protein kinase family protein	.
Gohir.D07G154700	TRUE	TRUE	FALSE	TRUE	FALSE	0	3	AT3G23240	ATERF1ERF1	ethylene response factor 1	.
Gohir.D07G155300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G54790	none	ARM repeat superfamily protein	.
Gohir.D07G159100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT2G20370	KAM1MUR3	Exostosin family protein	whose Arabidopsis orthologs are involved in actin organization and the synthesis of cell wall components (Reiter Chapple and Somerville 1997).
Gohir.D07G159900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G04150	none	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein	.
