Row.names	AA	eff	DGE	TF	other	relevance	total	Best.hit.arabi.name	arabi.symbol	arabi.defline	description
Gohir.A07G190200	TRUE	TRUE	TRUE	FALSE	FALSE	1	4	AT2G04850	none	Auxin-responsive family protein	plant growth; already in MS
Gohir.A08G192800	TRUE	TRUE	TRUE	FALSE	FALSE	1	4	AT2G20190	ATCLASPCLASP	CLIP-associated protein	Encodes a microtubule-associated protein that is involved in both cell division and cell expansion. It likely promotes microtubule stability.
Gohir.A06G070100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G51760	IAR3JR3	peptidase M20/M25/M40 family protein	.
Gohir.A06G071000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G29490	none	Metallopeptidase M24 family protein	.
Gohir.A07G178100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G02360	none	6-phosphogluconate dehydrogenase family protein	.
Gohir.A07G182200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G51550	FER	Malectin/receptor-like protein kinase family protein	.
Gohir.A07G194900	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT5G39740	OLI7RPL5B	ribosomal protein L5 B	Encodes a ribosomal protein RPL5B that is involved in ribosome biogenesis and plays a role in organ size control by promoting cell proliferation and preventing compensation in normal leaf development.
Gohir.A07G196000	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT4G12850	none	Far-red impaired responsive (FAR1) family protein	plant growth; already in MS
Gohir.A08G189000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G58160	ATMYOS3ATXIJMYA3XI-16XIJ	P-loop containing nucleoside triphosphate hydrolases superfamily protein	.
Gohir.A08G189600	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G63450	CYP94B1	cytochrome P450 family 94 subfamily B polypeptide 1	.
Gohir.A08G196000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G09640	APX1BAPX2	ascorbate peroxidase 2	.
Gohir.A08G196300	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT2G27100	SE	C2H2 zinc-finger protein SERRATE (SE)	Further analysis of the single loss of function allele indicated pleiotropic effects extending to many aspects of shoot development such as taller meristems alterations in phase transition phyllotaxy and branching
Gohir.A08G196500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G27090	none	Protein of unknown function (DUF630 and DUF632)	.
Gohir.D12G158000	TRUE	TRUE	FALSE	TRUE	FALSE	0	3	AT1G67970	AT-HSFA8HSFA8	heat shock transcription factor  A8	.
Gohir.D12G159500	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G05230	HDG2	homeodomain GLABROUS 2	Encodes a homeobox-leucine zipper family protein belonging to the HD-ZIP IV family. Mutants have trichomes that appear glass-like under a dissecting microscope as compared to the wild-type trichomes. The mutations do not affect trichome growth or branch number.
Gohir.D12G160100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT3G21700	ATSGP2SGP2	Ras-related small GTP-binding family protein	Expressed in root epidermal cells that are destined to become atrichoblasts. Also expressed during pollen development and in the pollen tube tip.
Gohir.A06G063500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G10950	none	Zinc-binding ribosomal protein family protein	.
Gohir.A06G063800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G13240	ATROPGEF9ROPGEF9	RHO guanyl-nucleotide exchange factor 9	.
Gohir.A06G063900	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G11520	ASP3YLS4	aspartate aminotransferase 3	.
Gohir.A06G064200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G29000	none	Tesmin/TSO1-like CXC domain-containing protein	.
Gohir.A06G065300	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G67280	none	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein	.
Gohir.A06G065400	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G20050	none	protein serine/threonine phosphatases;protein kinases;catalytics;cAMP-dependent protein kinase regulators;ATP binding;protein serine/threonine phosphatases	.
Gohir.A06G065500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G28890	none	RING/U-box superfamily protein	.
Gohir.A06G066100	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G20010	none	Protein of unknown function (DUF810)	.
Gohir.A06G066800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G56290	none	CwfJ-like family protein	.
Gohir.A06G067000	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G28345	none	ABC transporter family protein	.
Gohir.A06G067100	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G15450	none	Senescence/dehydration-associated protein-related	.
Gohir.A06G067700	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G19730	none	Pectin lyase-like superfamily protein	.
Gohir.A06G069800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G29180	RHS16	root hair specific 16	.
Gohir.A06G070500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G56740	HAC07HAC7HAG02HAG2	histone acetyltransferase of the GNAT family 2	.
Gohir.A06G071100	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G29510	ATPRMT11ATPRMT1BPRMT11PRMT1B	arginine methyltransferase 11	.
Gohir.A06G071300	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G13690	none	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	.
Gohir.A06G071400	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G29540	none	bacterial transferase hexapeptide repeat-containing protein	.
Gohir.A06G072500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G13750	BGAL1	beta galactosidase 1	.
Gohir.A06G073000	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G56970	ATCKX3CKX3	cytokinin oxidase 3	.
Gohir.A06G073100	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G29750	none	CRS1 / YhbY (CRM) domain-containing protein	.
Gohir.A06G073400	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G19480	NAP1;2NFA02NFA2	nucleosome assembly protein 1;2	.
Gohir.A06G073600	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G19430	AtTHO6DWA1THO6	DWD (DDB1-binding WD40 protein) hypersensitive to ABA 1	.
Gohir.A06G073800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G57035	none	U-box domain-containing protein kinase family protein	.
Gohir.A06G074100	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G37900	none	Protein of unknown function (duplicated DUF1399)	.
Gohir.A06G074200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G29810	ATMKK2MK1MKK2	MAP kinase kinase 2	.
Gohir.A07G175900	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G47890	AtRLP7RLP7	receptor like protein 7	.
Gohir.A07G176200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G02450	none	cell division protein ftsH putative	.
Gohir.A07G176600	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G37510	CI76EMB1467	NADH-ubiquinone dehydrogenase mitochondrial putative	.
Gohir.A07G176800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G37020	ARF8ATARF8	auxin response factor 8	.
Gohir.A07G177500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G30390	none	Transmembrane amino acid transporter family protein	.
Gohir.A07G177600	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G38940	ATPT2PHT1;4	phosphate transporter 1;4	.
Gohir.A07G177700	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	ATCG00480	none	ATP synthase subunit beta	.
Gohir.A07G178200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G24762	AtGDU4GDU4	glutamine dumper 4	.
Gohir.A07G178500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G38840	none	SMAD/FHA domain-containing protein 	.
Gohir.A07G178700	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G02260	ASA1BIGCRM1DOC1LPR1TIR3UMB1	auxin transport protein (BIG)	.
Gohir.A07G182700	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G30880	none	Pleckstrin homology (PH) domain-containing protein	.
Gohir.A07G183500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G51550	FER	Malectin/receptor-like protein kinase family protein	.
Gohir.A07G183600	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G10530	none	Transducin/WD40 repeat-like superfamily protein	.
Gohir.A07G183700	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G14130	none	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	.
Gohir.A07G183900	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G22260	none	Cysteine proteinases superfamily protein	.
Gohir.A07G184000	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G22250	none	UDP-Glycosyltransferase superfamily protein	.
Gohir.A07G190500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G48160	OBE2	Protein of unknown function (DUF1423)	.
Gohir.A07G190600	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G07770	AtHsp90-6AtHsp90.6Hsp89.1	HEAT SHOCK PROTEIN 89.1	.
Gohir.A07G191000	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G05120	none	Nucleoporin Nup133/Nup155-like	.
Gohir.A07G191200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G48170	SLY2	F-box family protein	.
Gohir.A07G191400	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G35770	SAP	Transducin/WD40 repeat-like superfamily protein	.
