Row.names	AA	eff	DGE	TF	other	relevance	total	Best.hit.arabi.name	arabi.symbol	arabi.defline	description
Gohir.A01G144900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G59960	none	NAD(P)-linked oxidoreductase superfamily protein	.
Gohir.A01G145200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G01940	ATIDD15SGR5	C2H2-like zinc finger protein	.
Gohir.A01G145400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G45220	none	Plant invertase/pectin methylesterase inhibitor superfamily	.
Gohir.D05G208100	FALSE	TRUE	TRUE	FALSE	FALSE	1	3	AT5G47820	FRA1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	Protein is localized to the periphery of the cytoplasm and mutants in the gene exhibit altered orientation of cellulose microfibrils and reduced mechanical strength of fibers.
Gohir.D05G209400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G53010	none	Domain of unknown function (DUF303) 	.
Gohir.D05G210400	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G77980	AGL66	AGAMOUS-like 66	·cotton·AG-like genes might act regulating fruit formation and are differentially responsive to hormones; Menezes de Moura 2017 Plant Reproduction
Gohir.D08G050200	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G02400	ATGA2OX4ATGA2OX6DTA1GA2OX6	gibberellin 2-oxidase 6	Development of cotton fibers is positively affected by a number of phytohormones including auxin gibberellins and brassinosteroids (BRs) (Delanghe 1986 Sun et al. 2004). Sun 2005 Plant Cell & Phys
Gohir.D13G154900	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT3G14850	TBL41	TRICHOME BIREFRINGENCE-LIKE 41	members of this gene family are known to be involved in the synthesis and deposition of cellulose in secondary cell walls (Bischoff Selbig and Scheible 2010)
Gohir.D13G162300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G64970	G-TMTTMT1VTE4	gamma-tocopherol methyltransferase	.
Gohir.A01G143400	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	ATCG01050	none	NADH-Ubiquinone/plastoquinone (complex I) protein	.
Gohir.A01G144500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G37870	none	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	.
Gohir.A01G145100	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G01950	BRL2VH1	BRI1-like 2	.
Gohir.A01G145500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G70730	none	Phosphoglucomutase/phosphomannomutase family protein	.
Gohir.A01G146100	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G19895	none	RING/U-box superfamily protein	.
Gohir.A01G147000	FALSE	TRUE	TRUE	FALSE	FALSE	0	2	AT2G01690	none	ARM repeat superfamily protein	.
Gohir.A01G147100	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G01680	none	Ankyrin repeat family protein	.
Gohir.A01G147200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G24620	none	EF hand calcium-binding protein family	.
Gohir.A11G020400	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G12230	none	alpha/beta-Hydrolases superfamily protein	.
Gohir.A11G020500	FALSE	TRUE	FALSE	FALSE	FALSE	1	2	AT4G01710	ARPC5CRK	ARP2/3 complex 16 kDa subunit (p16-Arc)	Encodes a actin polymerization factor. Involved in cell expansion of trichome.
Gohir.A11G020800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G12420	ACR8	ACT domain repeat 8	.
Gohir.A11G020900	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G64600	none	O-fucosyltransferase family protein	.
Gohir.A11G021200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G63020	NRPD1NRPD1APOL IVASDE4SMD2	nuclear RNA polymerase D1A	.
Gohir.A11G021700	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G52230	MBD13	methyl-CPG-binding domain protein 13	.
Gohir.A11G021800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G20330	none	Transcription initiation factor TFIIE beta subunit	.
Gohir.A11G022400	FALSE	TRUE	FALSE	FALSE	FALSE	1	2	AT5G41315	GL3MYC6.2	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	encodes a basic helix loop helix domain protein that interacts with GL1 in trichome development.
Gohir.A11G022800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G41370	ATXPB1XPB1	homolog of xeroderma pigmentosum complementation group B 1	.
Gohir.D05G207300	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G42940	none	RING/U-box superfamily protein	.
Gohir.D05G207400	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G36160	ANAC076NAC076VND2	NAC domain containing protein 76	.
Gohir.D05G207500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G34110	ATPAB2PAB2PABP2	poly(A) binding protein 2	.
Gohir.D05G207800	FALSE	TRUE	TRUE	FALSE	FALSE	0	2	AT4G06536	none	SPla/RYanodine receptor (SPRY) domain-containing protein	.
Gohir.D05G208200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G43020	none	Leucine-rich repeat protein kinase family protein	.
Gohir.D05G208400	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G02100	ORP3AUNE18	Oxysterol-binding family protein	.
