Row.names	AA	eff	DGE	TF	other	relevance	total	Best.hit.arabi.name	arabi.symbol	arabi.defline	description
Gohir.A11G235000	TRUE	TRUE	TRUE	FALSE	FALSE	1	4	AT1G55850	ATCSLE1CSLE1	cellulose synthase like E1	fiber
Gohir.A13G099200	TRUE	TRUE	TRUE	FALSE	FALSE	1	4	AT3G13540	ATMYB5MYB5	myb domain protein 5	MYB5 act as a negative regulator of trichome branching and play a role in the correct formation of the seed coat and possibly the formation the underlying endosperm layers. Loss of function mutations have defects in seed coat mucilage and columella cells as well as trichome defects (smaller and reduced number of branches).
Gohir.A01G140400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G38280	ATAMPDFAC1	AMP deaminase putative / myoadenylate deaminase putative	.
Gohir.A01G144900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G59960	none	NAD(P)-linked oxidoreductase superfamily protein	.
Gohir.A06G131300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G09850	XBCP3	xylem bark cysteine peptidase 3	.
Gohir.A06G134200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G28520	ATVOZ1VOZ1	vascular plant one zinc finger protein	.
Gohir.A06G134500	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT5G60860	AtRABA1fRABA1f	RAB GTPase homolog A1F	these genes influence the cell wall composition (both)
Gohir.A06G135800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G29790	none	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	.
Gohir.A06G136800	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT2G34440	AGL29	AGAMOUS-like 29	·cotton·AG-like genes might act regulating fruit formation and are differentially responsive to hormones; Menezes de Moura 2017 Plant Reproduction
Gohir.A06G137600	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G30040	ATGA2OX2GA2OX2	gibberellin 2-oxidase	Development of cotton fibers is positively affected by a number of phytohormones including auxin gibberellins and brassinosteroids (BRs) (Delanghe 1986 Sun et al. 2004). Sun 2005 Plant Cell & Phys
Gohir.A11G235100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G55850	ATCSLE1CSLE1	cellulose synthase like E1	fiber
Gohir.A12G166400	TRUE	TRUE	FALSE	TRUE	FALSE	0	3	AT3G54320	ASML1ATWRI1WRIWRI1	Integrase-type DNA-binding superfamily protein	.
Gohir.A13G097100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G09560	ATPAH1PAH1	Lipin family protein	.
Gohir.A13G097400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G03773	none	HSP20-like chaperones superfamily protein	.
Gohir.A13G097500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G17920	ATCIMSATMETSATMS1	Cobalamin-independent synthase family protein	.
Gohir.A13G099100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G20950	none	Glycosyl hydrolase family protein	.
Gohir.D06G152200	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G11580	ATPMEPCRAPMEPCRA	methylesterase PCR A	†FUNCTIONS IN: enzyme inhibitor activity pectinesterase activity; INVOLVED IN: cell wall modification
Gohir.D06G177400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G10630	none	UDP-Glycosyltransferase superfamily protein	.
Gohir.D06G178800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G48400	none	Cysteine/Histidine-rich C1 domain family protein	.
Gohir.D06G179800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G27500	none	Cysteine/Histidine-rich C1 domain family protein	.
Gohir.D07G155300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G54790	none	ARM repeat superfamily protein	.
Gohir.D07G159100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT2G20370	KAM1MUR3	Exostosin family protein	whose Arabidopsis orthologs are involved in actin organization and the synthesis of cell wall components (Reiter Chapple and Somerville 1997).
Gohir.D07G159900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G04150	none	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein	.
Gohir.D07G160500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G34060	none	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	.
Gohir.D09G106900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G19380	CLT1	CRT (chloroquine-resistance transporter)-like transporter 1	.
Gohir.D09G107500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G26850	none	F-box family protein	.
Gohir.A01G140500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G09600	none	Protein kinase superfamily protein	.
Gohir.A01G140600	FALSE	TRUE	TRUE	FALSE	FALSE	0	2	AT1G09610	none	Protein of unknown function (DUF579)	.
Gohir.A01G141200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G10520	none	DNA polymerase lambda (POLL)	.
Gohir.A01G142500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G59820	ALA3	aminophospholipid ATPase 3	.
Gohir.A01G143400	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	ATCG01050	none	NADH-Ubiquinone/plastoquinone (complex I) protein	.
Gohir.A01G144500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G37870	none	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	.
Gohir.A06G131200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G42620	MAX2ORE9PPS	RNI-like superfamily protein	.
Gohir.A06G132400	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G18740	none	Rho termination factor	.
Gohir.A06G133900	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G32880	ATHB-8ATHB8HB-8	homeobox gene 8	.
Gohir.A06G134000	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G29340	ATPUB17PUB17	plant U-box 17	.
Gohir.A06G136000	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G18160	ATKCO6ATTPK3KCO6TPK3	Ca2+ activated outward rectifying K+ channel 6	.
Gohir.A06G136500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G46330	FLS2	Leucine-rich receptor-like protein kinase family protein	.
Gohir.A06G137200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G46230	none	Protein of unknown function DUF538	.
Gohir.A06G137900	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G30100	ATNCED5NCED5	nine-cis-epoxycarotenoid dioxygenase 5	.
Gohir.A11G020400	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G12230	none	alpha/beta-Hydrolases superfamily protein	.
Gohir.A11G020500	FALSE	TRUE	FALSE	FALSE	FALSE	1	2	AT4G01710	ARPC5CRK	ARP2/3 complex 16 kDa subunit (p16-Arc)	Encodes a actin polymerization factor. Involved in cell expansion of trichome.
Gohir.A11G020800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G12420	ACR8	ACT domain repeat 8	.
Gohir.A11G020900	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G64600	none	O-fucosyltransferase family protein	.
Gohir.A11G021200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G63020	NRPD1NRPD1APOL IVASDE4SMD2	nuclear RNA polymerase D1A	.
Gohir.A11G021700	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G52230	MBD13	methyl-CPG-binding domain protein 13	.
Gohir.A11G021800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G20330	none	Transcription initiation factor TFIIE beta subunit	.
Gohir.A11G022400	FALSE	TRUE	FALSE	FALSE	FALSE	1	2	AT5G41315	GL3MYC6.2	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	encodes a basic helix loop helix domain protein that interacts with GL1 in trichome development.
Gohir.A11G022800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G41370	ATXPB1XPB1	homolog of xeroderma pigmentosum complementation group B 1	.
Gohir.A11G235600	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G56540	AGP14ATAGP14	arabinogalactan protein 14	.
Gohir.A11G235900	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G27190	none	NB-ARC domain-containing disease resistance protein	.
Gohir.A11G236400	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G27240	none	DNAJ heat shock N-terminal domain-containing protein	.
