# Generated by GMAP version 2018-07-04 using call:  gmap.avx2 -D . -d TM1 -t 150 -n 2 -f 4 QTLtargetseqsFixed.fasta							
LG	Marker	Position	Chr	Start	End	% ID	
AZ1/IA1	AZ1/IA1_2_c2_34964_0	0	A12	"785,478"	"785,750"	100	ID=AZ1/IA1_2_c2_34964_0.path1;Name=AZ1/IA1_2_c2_34964_0;Target=AZ1/IA1_2_c2_34964_0 1 273 +;Gap=M273;coverage=100.0;identity=100.0;matches=272;mismatches=0;indels=0;unknowns=1
AZ1/IA1	AZ1/IA1_2_c4_13563_25.945	25.945	A12	"3,183,212"	"3,183,511"	99	ID=AZ1/IA1_2_c4_13563_25.945.path1;Name=AZ1/IA1_2_c4_13563_25.945;Target=AZ1/IA1_2_c4_13563_25.945 1 301 -;Gap=M119 I1 M181;coverage=100.0;identity=99.3;matches=298;mismatches=1;indels=1;unknowns=1
AZ1/IA1	AZ1/IA1_2_c4_49399_41.698	41.698	A12	"7,834,354"	"7,834,644"	97	ID=AZ1/IA1_2_c4_49399_41.698.path1;Name=AZ1/IA1_2_c4_49399_41.698;Target=AZ1/IA1_2_c4_49399_41.698 3 301 +;Gap=M7 I1 M16 I1 M59 I1 M3 I1 M16 I1 M81 I1 M27 I1 M14 I1 M68;coverage=99.3;identity=97.3;matches=288;mismatches=0;indels=8;unknowns=3
AZ1/IA1	AZ1/IA1_2_c4_49399_41.698	41.698	D12	"3,887,071"	"3,887,350"	97	ID=AZ1/IA1_2_c4_49399_41.698.path2;Name=AZ1/IA1_2_c4_49399_41.698;Target=AZ1/IA1_2_c4_49399_41.698 16 301 -;Gap=M69 I1 M42 I1 M76 I1 M19 I1 M4 I1 M60 I1 M10;coverage=95.0;identity=97.9;matches=277;mismatches=0;indels=6;unknowns=3
AZ1/IA1	AZ1/IA1_2_c3_76188_52.035	52.035	A12	"13,521,801"	"13,522,093"	99	ID=AZ1/IA1_2_c3_76188_52.035.path1;Name=AZ1/IA1_2_c3_76188_52.035;Target=AZ1/IA1_2_c3_76188_52.035 1 295 -;Gap=M37 I1 M207 I1 M49;coverage=100.0;identity=99.3;matches=290;mismatches=0;indels=2;unknowns=3
AZ1/IA1	AZ1/IA1_2_c4_02426_55.302	55.302	A12	"36,793,765"	"36,794,065"	100	ID=AZ1/IA1_2_c4_02426_55.302.path1;Name=AZ1/IA1_2_c4_02426_55.302;Target=AZ1/IA1_2_c4_02426_55.302 1 301 +;Gap=M301;coverage=100.0;identity=100.0;matches=298;mismatches=0;indels=0;unknowns=3
AZ1/IA1	AZ1/IA1_2_c4_36660_56.141	56.141	A12	"28,153,303"	"28,153,600"	98	ID=AZ1/IA1_2_c4_36660_56.141.path1;Name=AZ1/IA1_2_c4_36660_56.141;Target=AZ1/IA1_2_c4_36660_56.141 1 301 +;Gap=M161 I2 M29 I1 M108;coverage=100.0;identity=98.7;matches=296;mismatches=1;indels=3;unknowns=1
AZ1/IA1	AZ1/IA1_2_c2_11637_57.406	57.406	A12	"26,492,774"	"26,493,071"	100	ID=AZ1/IA1_2_c2_11637_57.406.path1;Name=AZ1/IA1_2_c2_11637_57.406;Target=AZ1/IA1_2_c2_11637_57.406 1 298 -;Gap=M298;coverage=100.0;identity=100.0;matches=296;mismatches=0;indels=0;unknowns=2
AZ1/IA1	AZ1/IA1_2_c2_11637_57.406	57.406	A12	"56,604,928"	"56,605,224"	99	ID=AZ1/IA1_2_c2_11637_57.406.path2;Name=AZ1/IA1_2_c2_11637_57.406;Target=AZ1/IA1_2_c2_11637_57.406 1 298 +;Gap=M177 I1 M120;coverage=100.0;identity=99.7;matches=295;mismatches=0;indels=1;unknowns=2
AZ1/IA1	AZ1/IA1_2_EST1A_00152_58.817_Cotton16_00152_01	58.817	D12	"39,795,319"	"39,796,946"	99	ID=AZ1/IA1_2_EST1A_00152_58.817_Cotton16_00152_01.path1;Name=AZ1/IA1_2_EST1A_00152_58.817_Cotton16_00152_01;Target=AZ1/IA1_2_EST1A_00152_58.817_Cotton16_00152_01 2 1628 +;Gap=M1593 D1 M34;coverage=99.9;identity=99.2;matches=1615;mismatches=12;indels=1;unknowns=0
AZ1/IA1	AZ1/IA1_2_GS2D_22731p558q11_70.159	70.159	D12	"44,153,974"	"44,154,784"	100	ID=AZ1/IA1_2_GS2D_22731p558q11_70.159.path1;Name=AZ1/IA1_2_GS2D_22731p558q11_70.159;Target=AZ1/IA1_2_GS2D_22731p558q11_70.159 1 601 -;Gap=M90 N94 M137 N116 M374;coverage=100.0;identity=99.8;matches=591;mismatches=1;indels=0;unknowns=9
AZ1/IA1	AZ1/IA1_2_GS2D_22731p558q11_70.159	70.159	A12	"78,273,367"	"78,274,177"	99	ID=AZ1/IA1_2_GS2D_22731p558q11_70.159.path2;Name=AZ1/IA1_2_GS2D_22731p558q11_70.159;Target=AZ1/IA1_2_GS2D_22731p558q11_70.159 1 601 -;Gap=M90 N94 M137 N116 M374;coverage=100.0;identity=99.7;matches=590;mismatches=2;indels=0;unknowns=9
AZ1/IA1	AZ1/IA1_2_GS2A_37259p664q5_95.199	95.199	D12	"52,085,440"	"52,086,145"	100	ID=AZ1/IA1_2_GS2A_37259p664q5_95.199.path1;Name=AZ1/IA1_2_GS2A_37259p664q5_95.199;Target=AZ1/IA1_2_GS2A_37259p664q5_95.199 1 601 -;Gap=M198 N105 M403;coverage=100.0;identity=100.0;matches=573;mismatches=0;indels=0;unknowns=28
AZ1/IA1	AZ1/IA1_2_GS2A_37259p664q5_95.199	95.199	A12	"89,388,596"	"89,389,301"	99	ID=AZ1/IA1_2_GS2A_37259p664q5_95.199.path2;Name=AZ1/IA1_2_GS2A_37259p664q5_95.199;Target=AZ1/IA1_2_GS2A_37259p664q5_95.199 1 600 -;Gap=M197 N106 M403;coverage=99.8;identity=99.7;matches=570;mismatches=2;indels=0;unknowns=28
AZ1/IA1	AZ1/IA1_2_GS2A_2514p880q5_95.221	95.221	A12	"90,714,057"	"90,714,657"	100	ID=AZ1/IA1_2_GS2A_2514p880q5_95.221.path1;Name=AZ1/IA1_2_GS2A_2514p880q5_95.221;Target=AZ1/IA1_2_GS2A_2514p880q5_95.221 1 601 -;Gap=M601;coverage=100.0;identity=100.0;matches=596;mismatches=0;indels=0;unknowns=5
AZ1/IA1	AZ1/IA1_2_GS2A_2514p880q5_95.221	95.221	D12	"52,883,305"	"52,883,905"	100	ID=AZ1/IA1_2_GS2A_2514p880q5_95.221.path2;Name=AZ1/IA1_2_GS2A_2514p880q5_95.221;Target=AZ1/IA1_2_GS2A_2514p880q5_95.221 1 601 -;Gap=M601;coverage=100.0;identity=100.0;matches=596;mismatches=0;indels=0;unknowns=5
AZ1/IA1	AZ1/IA1_2_GS1A_35252p459q21_116.727	116.727	A12	"99,969,672"	"99,970,345"	100	ID=AZ1/IA1_2_GS1A_35252p459q21_116.727.path1;Name=AZ1/IA1_2_GS1A_35252p459q21_116.727;Target=AZ1/IA1_2_GS1A_35252p459q21_116.727 1 601 -;Gap=M175 N73 M426;coverage=100.0;identity=100.0;matches=581;mismatches=0;indels=0;unknowns=20
AZ1/IA1	AZ1/IA1_2_GS1A_35252p459q21_116.727	116.727	D12	"60,916,579"	"60,917,252"	100	ID=AZ1/IA1_2_GS1A_35252p459q21_116.727.path2;Name=AZ1/IA1_2_GS1A_35252p459q21_116.727;Target=AZ1/IA1_2_GS1A_35252p459q21_116.727 1 601 -;Gap=M175 N73 M426;coverage=100.0;identity=100.0;matches=581;mismatches=0;indels=0;unknowns=20
AZ1/IA1	AZ1/IA1_2_GS1A_45602p538q15_117.787	117.787	A12	"100,079,948"	"100,081,291"	100	ID=AZ1/IA1_2_GS1A_45602p538q15_117.787.path1;Name=AZ1/IA1_2_GS1A_45602p538q15_117.787;Target=AZ1/IA1_2_GS1A_45602p538q15_117.787 1 601 -;Gap=M38 N89 M136 N652 M223 D1 M37 D1 M167;coverage=100.0;identity=99.7;matches=586;mismatches=0;indels=2;unknowns=15
AZ1/IA1	AZ1/IA1_2_GS1A_45602p538q15_117.787	117.787	D12	"61,055,291"	"61,056,648"	100	ID=AZ1/IA1_2_GS1A_45602p538q15_117.787.path2;Name=AZ1/IA1_2_GS1A_45602p538q15_117.787;Target=AZ1/IA1_2_GS1A_45602p538q15_117.787 1 601 -;Gap=M38 N89 M136 N666 M223 D1 M37 D1 M167;coverage=100.0;identity=99.7;matches=586;mismatches=0;indels=2;unknowns=15
AZ1/IA1	AZ1/IA1_2_c4_63363_137.446	137.446	A12	"97,753,090"	"97,753,376"	97	ID=AZ1/IA1_2_c4_63363_137.446.path1;Name=AZ1/IA1_2_c4_63363_137.446;Target=AZ1/IA1_2_c4_63363_137.446 1 293 -;Gap=M61 I1 M28 I1 M47 I1 M17 I1 M105 I1 M6 I1 M23;coverage=100.0;identity=97.9;matches=286;mismatches=0;indels=6;unknowns=1
							
AZ10/IA7	AZ10/IA7_c3_40233_0	0	A03	"101,464,731"	"101,465,028"	98	ID=AZ10/IA7_c3_40233_0.path1;Name=AZ10/IA7_c3_40233_0;Target=AZ10/IA7_c3_40233_0 1 301 -;Gap=M149 I1 M55 I1 M82 I1 M12;coverage=100.0;identity=98.3;matches=294;mismatches=2;indels=3;unknowns=2
AZ10/IA7	AZ10/IA7_c3_28441_6.75	6.75	A03	"11,256,708"	"11,256,998"	99	ID=AZ10/IA7_c3_28441_6.75.path1;Name=AZ10/IA7_c3_28441_6.75;Target=AZ10/IA7_c3_28441_6.75 1 293 +;Gap=M97 I1 M17 I1 M177;coverage=100.0;identity=99.3;matches=290;mismatches=0;indels=2;unknowns=1
AZ10/IA7	AZ10/IA7_ck_104381_11.616	11.616	A03	"53,850,010"	"53,850,310"	98	ID=AZ10/IA7_ck_104381_11.616.path1;Name=AZ10/IA7_ck_104381_11.616;Target=AZ10/IA7_ck_104381_11.616 1 301 +;Gap=M301;coverage=100.0;identity=99.0;matches=295;mismatches=3;indels=0;unknowns=3
AZ10/IA7	AZ10/IA7_EST2A_00002_034_11.814_Cotton16_00002_034	11.814	A03	"30,730,989"	"30,733,143"	100	ID=AZ10/IA7_EST2A_00002_034_11.814_Cotton16_00002_034.path1;Name=AZ10/IA7_EST2A_00002_034_11.814_Cotton16_00002_034;Target=AZ10/IA7_EST2A_00002_034_11.814_Cotton16_00002_034 31 1408 -;Gap=M519 N110 M120 N517 M247 N83 M178 D27 M129 D30 M88 D10 M97;coverage=97.9;identity=93.8;matches=1356;mismatches=22;indels=67;unknowns=0
AZ10/IA7	AZ10/IA7_EST2A_00002_034_11.814_Cotton16_00002_034	11.814	scaffold_2628	"4,837"	"6,988"	100	ID=AZ10/IA7_EST2A_00002_034_11.814_Cotton16_00002_034.path2;Name=AZ10/IA7_EST2A_00002_034_11.814_Cotton16_00002_034;Target=AZ10/IA7_EST2A_00002_034_11.814_Cotton16_00002_034 31 1408 -;Gap=M519 N110 M120 N516 M107 I1 M64 I1 M67 N82 M185 D27 M129 D30 M88 D11 M97;coverage=97.9;identity=93.6;matches=1354;mismatches=22;indels=70;unknowns=0
AZ10/IA7	AZ10/IA7_ck_05459_12.218	12.218	A03	"24,566,679"	"24,566,979"	100	ID=AZ10/IA7_ck_05459_12.218.path1;Name=AZ10/IA7_ck_05459_12.218;Target=AZ10/IA7_ck_05459_12.218 1 301 +;Gap=M301;coverage=100.0;identity=100.0;matches=298;mismatches=0;indels=0;unknowns=3
AZ10/IA7	AZ10/IA7_ck_56835_12.218	12.218	A03	"44,894,434"	"44,894,734"	100	ID=AZ10/IA7_ck_56835_12.218.path1;Name=AZ10/IA7_ck_56835_12.218;Target=AZ10/IA7_ck_56835_12.218 1 301 +;Gap=M301;coverage=100.0;identity=100.0;matches=300;mismatches=0;indels=0;unknowns=1
AZ10/IA7	AZ10/IA7_c2_59292_12.369	12.369	A03	"29,799,347"	"29,799,645"	99	ID=AZ10/IA7_c2_59292_12.369.path1;Name=AZ10/IA7_c2_59292_12.369;Target=AZ10/IA7_c2_59292_12.369 1 301 -;Gap=M94 I1 M91 I1 M114;coverage=100.0;identity=99.0;matches=297;mismatches=1;indels=2;unknowns=1
AZ10/IA7	AZ10/IA7_c4_15143_15.126	15.126	A03	"44,500,291"	"44,500,553"	99	ID=AZ10/IA7_c4_15143_15.126.path1;Name=AZ10/IA7_c4_15143_15.126;Target=AZ10/IA7_c4_15143_15.126 1 264 +;Gap=M217 I1 M46;coverage=97.1;identity=99.6;matches=261;mismatches=0;indels=1;unknowns=2
AZ10/IA7	AZ10/IA7_c4_81753_15.53	15.53	A03	"32,894,469"	"32,894,766"	99	ID=AZ10/IA7_c4_81753_15.53.path1;Name=AZ10/IA7_c4_81753_15.53;Target=AZ10/IA7_c4_81753_15.53 1 301 -;Gap=M8 I1 M155 I1 M23 I1 M112;coverage=100.0;identity=99.0;matches=297;mismatches=0;indels=3;unknowns=1
AZ10/IA7	AZ10/IA7_c4_44293_17.644	17.644	A03	"23,349,450"	"23,349,750"	100	ID=AZ10/IA7_c4_44293_17.644.path1;Name=AZ10/IA7_c4_44293_17.644;Target=AZ10/IA7_c4_44293_17.644 1 301 -;Gap=M301;coverage=100.0;identity=100.0;matches=299;mismatches=0;indels=0;unknowns=2
AZ10/IA7	AZ10/IA7_c4_18565_18.245	18.245	A03	"49,735,942"	"49,736,242"	100	ID=AZ10/IA7_c4_18565_18.245.path1;Name=AZ10/IA7_c4_18565_18.245;Target=AZ10/IA7_c4_18565_18.245 1 301 -;Gap=M301;coverage=100.0;identity=100.0;matches=297;mismatches=0;indels=0;unknowns=4
AZ10/IA7	AZ10/IA7_c4_24463_18.34	18.34	A03	"42,138,955"	"42,139,242"	99	ID=AZ10/IA7_c4_24463_18.34.path1;Name=AZ10/IA7_c4_24463_18.34;Target=AZ10/IA7_c4_24463_18.34 1 289 -;Gap=M27 I1 M261;coverage=100.0;identity=99.3;matches=285;mismatches=1;indels=1;unknowns=2
AZ10/IA7	AZ10/IA7_c4_16854_18.782	18.782	A03	"42,676,847"	"42,677,131"	99	ID=AZ10/IA7_c4_16854_18.782.path1;Name=AZ10/IA7_c4_16854_18.782;Target=AZ10/IA7_c4_16854_18.782 1 287 -;Gap=M59 I1 M53 I1 M173;coverage=95.3;identity=99.3;matches=284;mismatches=0;indels=2;unknowns=1
AZ10/IA7	AZ10/IA7_c4_49707_21.376	21.376	A03	"74,855,022"	"74,855,322"	99	ID=AZ10/IA7_c4_49707_21.376.path1;Name=AZ10/IA7_c4_49707_21.376;Target=AZ10/IA7_c4_49707_21.376 1 301 -;Gap=M79 I1 M78 D1 M143;coverage=100.0;identity=99.3;matches=299;mismatches=0;indels=2;unknowns=1
AZ10/IA7	AZ10/IA7_c4_57541_28.049	28.049	A03	"7,756,446"	"7,756,735"	99	ID=AZ10/IA7_c4_57541_28.049.path1;Name=AZ10/IA7_c4_57541_28.049;Target=AZ10/IA7_c4_57541_28.049 1 292 -;Gap=M40 I1 M22 I1 M228;coverage=100.0;identity=99.3;matches=289;mismatches=0;indels=2;unknowns=1
AZ10/IA7	AZ10/IA7_EST1A_24254_01_821_40.944_Cotton16_24254_01	40.944	D03	"48,492,103"	"48,494,696"	99	ID=AZ10/IA7_EST1A_24254_01_821_40.944_Cotton16_24254_01.path1;Name=AZ10/IA7_EST1A_24254_01_821_40.944_Cotton16_24254_01;Target=AZ10/IA7_EST1A_24254_01_821_40.944_Cotton16_24254_01 1 2102 -;Gap=M801 N221 M162 N103 M614 N85 M156 N83 M369;coverage=99.9;identity=100.0;matches=2101;mismatches=1;indels=0;unknowns=0
							
AZ11/IA34	AZ11/IA34_EST1A_04360_0_Cotton16_04360_01	0	A05	"16,799,827"	"16,801,699"	99	ID=AZ11/IA34_EST1A_04360_0_Cotton16_04360_01.path1;Name=AZ11/IA34_EST1A_04360_0_Cotton16_04360_01;Target=AZ11/IA34_EST1A_04360_0_Cotton16_04360_01 1 838 -;Gap=M236 N98 M28 N937 M574;coverage=100.0;identity=99.6;matches=835;mismatches=3;indels=0;unknowns=0
AZ11/IA34	AZ11/IA34_c4_36190_5.888	5.888	A05	"12,447,798"	"12,448,094"	99	ID=AZ11/IA34_c4_36190_5.888.path1;Name=AZ11/IA34_c4_36190_5.888;Target=AZ11/IA34_c4_36190_5.888 3 301 -;Gap=M205 I1 M9 I1 M83;coverage=99.3;identity=99.3;matches=296;mismatches=0;indels=2;unknowns=1
AZ11/IA34	AZ11/IA34_GS2D_4259p2093q25_12.706	12.706	D05	"11,472,532"	"11,473,328"	100	ID=AZ11/IA34_GS2D_4259p2093q25_12.706.path1;Name=AZ11/IA34_GS2D_4259p2093q25_12.706;Target=AZ11/IA34_GS2D_4259p2093q25_12.706 1 601 +;Gap=M107 N121 M405 N75 M89;coverage=100.0;identity=100.0;matches=590;mismatches=0;indels=0;unknowns=11
AZ11/IA34	AZ11/IA34_GS2D_4259p2093q25_12.706	12.706	A05	"12,695,737"	"12,696,540"	100	ID=AZ11/IA34_GS2D_4259p2093q25_12.706.path2;Name=AZ11/IA34_GS2D_4259p2093q25_12.706;Target=AZ11/IA34_GS2D_4259p2093q25_12.706 1 601 +;Gap=M89 N75 M405 N128 M107;coverage=100.0;identity=100.0;matches=590;mismatches=0;indels=0;unknowns=11
AZ11/IA34	AZ11/IA34_GS1_48876p1060q15_19.843	19.843	A05	"17,185,964"	"17,187,621"	100	ID=AZ11/IA34_GS1_48876p1060q15_19.843.path1;Name=AZ11/IA34_GS1_48876p1060q15_19.843;Target=AZ11/IA34_GS1_48876p1060q15_19.843 1 601 +;Gap=M36 N415 M96 N329 M45 N131 M90 N85 M72 N97 M262;coverage=100.0;identity=99.8;matches=593;mismatches=1;indels=0;unknowns=7
AZ11/IA34	AZ11/IA34_GS1_48876p1060q15_19.843	19.843	D05	"16,153,264"	"16,154,887"	98	ID=AZ11/IA34_GS1_48876p1060q15_19.843.path2;Name=AZ11/IA34_GS1_48876p1060q15_19.843;Target=AZ11/IA34_GS1_48876p1060q15_19.843 1 601 +;Gap=M36 N414 M96 N329 M45 N98 M90 N85 M72 N97 M262;coverage=100.0;identity=99.3;matches=590;mismatches=4;indels=0;unknowns=7
AZ11/IA34	AZ11/IA34_GS2A_29117p378q3_25.273	25.273	D05	"15,127,472"	"15,128,072"	99	ID=AZ11/IA34_GS2A_29117p378q3_25.273.path1;Name=AZ11/IA34_GS2A_29117p378q3_25.273;Target=AZ11/IA34_GS2A_29117p378q3_25.273 1 601 +;Gap=M601;coverage=100.0;identity=99.8;matches=577;mismatches=1;indels=0;unknowns=23
