Row.names	AA	eff	DGE	TF	other	relevance	total	Best.hit.arabi.name	arabi.symbol	arabi.defline	description
Gohir.A07G175500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G66840	none	Plant protein of unknown function (DUF827)	.
Gohir.A07G178100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G02360	none	6-phosphogluconate dehydrogenase family protein	.
Gohir.A10G133100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G26570	ATGWD3OK1PWD	catalytics;carbohydrate kinases;phosphoglucan water dikinases	.
Gohir.A10G133500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G68570	none	Major facilitator superfamily protein	.
Gohir.A10G135400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G59290	none	ENTH/VHS family protein	.
Gohir.A10G138100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT3G07500	none	Far-red impaired responsive (FAR1) family protein	plant growth; already in MS
Gohir.D05G206900	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT5G67090	none	Subtilisin-like serine endopeptidase family protein	Subtilisin proteases have been associated with cell wall composition in Arabidopsis thaliana specifically the mucilage content of cell walls (Rautengarten et al. 2008). 
Gohir.D05G208100	FALSE	TRUE	TRUE	FALSE	FALSE	1	3	AT5G47820	FRA1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	Protein is localized to the periphery of the cytoplasm and mutants in the gene exhibit altered orientation of cellulose microfibrils and reduced mechanical strength of fibers.
Gohir.D05G209400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G53010	none	Domain of unknown function (DUF303) 	.
Gohir.D05G210400	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G77980	AGL66	AGAMOUS-like 66	·cotton·AG-like genes might act regulating fruit formation and are differentially responsive to hormones; Menezes de Moura 2017 Plant Reproduction
Gohir.D05G211000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G24220	AWI31VEP1	NAD(P)-binding Rossmann-fold superfamily protein	.
Gohir.A07G175900	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G47890	AtRLP7RLP7	receptor like protein 7	.
Gohir.A07G176200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G02450	none	cell division protein ftsH putative	.
Gohir.A07G176600	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G37510	CI76EMB1467	NADH-ubiquinone dehydrogenase mitochondrial putative	.
Gohir.A07G176800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G37020	ARF8ATARF8	auxin response factor 8	.
Gohir.A07G177500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G30390	none	Transmembrane amino acid transporter family protein	.
