	HAU.prot	JGIv1.prot	JGIv2.prot
OG0036986	Ghir_A01G000020.1		
OG0036987	Ghir_A01G000030.1		
OG0036988	Ghir_A01G000070.1		
OG0036989	Ghir_A01G000090.1		
OG0036990	Ghir_A01G000140.1		
OG0036991	Ghir_A01G000190.1		
OG0036992	Ghir_A01G000190.2		
OG0036993	Ghir_A01G000200.2		
OG0036994	Ghir_A01G000230.1		
OG0036995	Ghir_A01G000260.1		
OG0036996	Ghir_A01G000280.2		
OG0036997	Ghir_A01G000290.2		
OG0036998	Ghir_A01G000360.1		
OG0036999	Ghir_A01G000370.1		
OG0037000	Ghir_A01G000380.1		
OG0037001	Ghir_A01G000390.1		
OG0037002	Ghir_A01G000400.2		
OG0037003	Ghir_A01G000450.1		
OG0037004	Ghir_A01G000460.5		
OG0037005	Ghir_A01G000480.1		
OG0037006	Ghir_A01G000480.3		
OG0037007	Ghir_A01G000480.4		
OG0037008	Ghir_A01G000510.1		
OG0037009	Ghir_A01G000520.1		
OG0037010	Ghir_A01G000560.1		
OG0037011	Ghir_A01G000570.1		
OG0037012	Ghir_A01G000570.2		
OG0037013	Ghir_A01G000570.3		
OG0037014	Ghir_A01G000570.4		
OG0037015	Ghir_A01G000590.1		
OG0037016	Ghir_A01G000620.1		
OG0037017	Ghir_A01G000620.2		
OG0037018	Ghir_A01G000670.1		
OG0037019	Ghir_A01G000670.3		
OG0037020	Ghir_A01G000670.4		
OG0037021	Ghir_A01G000690.1		
OG0037022	Ghir_A01G000700.1		
OG0037023	Ghir_A01G000710.1		
OG0037024	Ghir_A01G000730.1		
OG0037025	Ghir_A01G000770.1		
OG0037026	Ghir_A01G000800.1		
OG0037027	Ghir_A01G000830.1		
OG0037028	Ghir_A01G000840.1		
OG0037029	Ghir_A01G000860.1		
OG0037030	Ghir_A01G000870.1		
OG0037031	Ghir_A01G000890.2		
OG0037032	Ghir_A01G000920.1		
OG0037033	Ghir_A01G000930.2		
OG0037034	Ghir_A01G000940.1		
OG0037035	Ghir_A01G000950.4		
OG0037036	Ghir_A01G000950.1		
OG0037037	Ghir_A01G000950.2		
OG0037038	Ghir_A01G000970.2		
OG0037039	Ghir_A01G000970.3		
OG0037040	Ghir_A01G000970.4		
OG0037041	Ghir_A01G000970.5		
OG0037042	Ghir_A01G000970.6		
OG0037043	Ghir_A01G001010.2		
OG0037044	Ghir_A01G001050.1		
OG0037045	Ghir_A01G001070.1		
OG0037046	Ghir_A01G001080.2		
OG0037047	Ghir_A01G001100.1		
OG0037048	Ghir_A01G001120.5		
OG0037049	Ghir_A01G001170.2		
OG0037050	Ghir_A01G001200.2		
OG0037051	Ghir_A01G001260.1		
OG0037052	Ghir_A01G001270.1		
OG0037053	Ghir_A01G001290.3		
OG0037054	Ghir_A01G001300.1		
OG0037055	Ghir_A01G001300.2		
OG0037056	Ghir_A01G001300.4		
OG0037057	Ghir_A01G001300.5		
OG0037058	Ghir_A01G001300.7		
OG0037059	Ghir_A01G001300.8		
OG0037060	Ghir_A01G001300.9		
OG0037061	Ghir_A01G001300.10		
OG0037062	Ghir_A01G001300.11		
OG0037063	Ghir_A01G001320.1		
OG0037064	Ghir_A01G001370.1		
OG0037065	Ghir_A01G001380.3		
OG0037066	Ghir_A01G001420.4		
OG0037067	Ghir_A01G001460.1		
OG0037068	Ghir_A01G001510.1		
OG0037069	Ghir_A01G001540.1		
OG0037070	Ghir_A01G001580.1		
OG0037071	Ghir_A01G001580.2		
OG0037072	Ghir_A01G001590.3		
OG0037073	Ghir_A01G001640.1		
OG0037074	Ghir_A01G001660.1		
OG0037075	Ghir_A01G001670.1		
OG0037076	Ghir_A01G001680.1		
OG0037077	Ghir_A01G001710.2		
OG0037078	Ghir_A01G001720.1		
OG0037079	Ghir_A01G001740.2		
OG0037080	Ghir_A01G001770.1		
OG0037081	Ghir_A01G001790.5		
OG0037082	Ghir_A01G001790.6		
OG0037083	Ghir_A01G001790.1		
OG0037084	Ghir_A01G001790.2		
OG0037085	Ghir_A01G001790.7		
OG0037086	Ghir_A01G001790.8		
OG0037087	Ghir_A01G001790.3		
OG0037088	Ghir_A01G001790.4		
OG0037089	Ghir_A01G001810.1		
OG0037090	Ghir_A01G001830.1		
OG0037091	Ghir_A01G001850.1		
OG0037092	Ghir_A01G001880.1		
OG0037093	Ghir_A01G001900.1		
OG0037094	Ghir_A01G001910.1		
OG0037095	Ghir_A01G001930.3		
OG0037096	Ghir_A01G001930.4		
OG0037097	Ghir_A01G001950.2		
OG0037098	Ghir_A01G001990.1		
OG0037099	Ghir_A01G002100.2		
OG0037100	Ghir_A01G002120.2		
OG0037101	Ghir_A01G002130.4		
OG0037102	Ghir_A01G002140.2		
OG0037103	Ghir_A01G002160.2		
OG0037104	Ghir_A01G002160.3		
OG0037105	Ghir_A01G002160.1		
OG0037106	Ghir_A01G002200.2		
OG0037107	Ghir_A01G002220.1		
OG0037108	Ghir_A01G002270.2		
OG0037109	Ghir_A01G002290.5		
OG0037110	Ghir_A01G002290.2		
OG0037111	Ghir_A01G002290.3		
OG0037112	Ghir_A01G002290.4		
OG0037113	Ghir_A01G002300.2		
OG0037114	Ghir_A01G002320.3		
OG0037115	Ghir_A01G002330.1		
OG0037116	Ghir_A01G002340.2		
OG0037117	Ghir_A01G002350.7		
OG0037118	Ghir_A01G002350.2		
OG0037119	Ghir_A01G002350.5		
