Row.names	AA	eff	DGE	TF	other	relevance	total	Best.hit.arabi.name	arabi.symbol	arabi.defline	description
Gohir.A01G058800	TRUE	TRUE	TRUE	FALSE	FALSE	1	4	AT1G53230	TCP3	TEOSINTE BRANCHED 1 cycloidea and PCF transcription factor 3	homolog for this locus is known to be involved in determining plant height internode length and leaf shape in Arabidopsis (Kieffer et al. 2011; Davi?re et al. 2014) maize (Doebley Stec and Hubbard 1997; Studer and Doebley 2012) and tomato (Steiner et al. 2012)
Gohir.A07G190200	TRUE	TRUE	TRUE	FALSE	FALSE	1	4	AT2G04850	none	Auxin-responsive family protein	plant growth; already in MS
Gohir.D10G096900	TRUE	TRUE	FALSE	TRUE	FALSE	1	4	AT4G36920	AP2FL1FLO2	Integrase-type DNA-binding superfamily protein	AP2 also has a role in controlling seed mass
Gohir.A01G032300	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G02400	ATGA2OX4ATGA2OX6DTA1GA2OX6	gibberellin 2-oxidase 6	Development of cotton fibers is positively affected by a number of phytohormones including auxin gibberellins and brassinosteroids (BRs) (Delanghe 1986 Sun et al. 2004). Sun 2005 Plant Cell & Phys
Gohir.A01G047300	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G78580	ATTPS1TPS1	trehalose-6-phosphate synthase	The gene product modulates cell growth but not cell differentiation by determining cell wall deposition and cell division
Gohir.A01G048300	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT3G14850	TBL41	TRICHOME BIREFRINGENCE-LIKE 41	members of this gene family are known to be involved in the synthesis and deposition of cellulose in secondary cell walls (Bischoff Selbig and Scheible 2010)
Gohir.A01G052400	TRUE	TRUE	FALSE	TRUE	FALSE	0	3	AT1G78700	BEH4	BES1/BZR1 homolog 4	.
Gohir.A01G052500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G29800	none	RING/FYVE/PHD-type zinc finger family protein	.
Gohir.A01G056700	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G53280	none	Class I glutamine amidotransferase-like superfamily protein	.
Gohir.A01G060600	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT5G54010	none	UDP-Glycosyltransferase superfamily protein	Encodes a flavonoid 3-O-glucoside:2&8243;-O-glucosyltransferase that determines pollen-specific flavonol structure.
Gohir.A01G061500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G15220	none	Protein kinase superfamily protein	.
Gohir.A01G093300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G55820	none	Kinase-related protein of unknown function (DUF1296)	.
Gohir.A01G096200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G30070	ATKT1ATKT1PATKUP1KT1KUP1	potassium transporter 1	.
Gohir.A01G097100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G03240	none	EXS (ERD1/XPR1/SYG1) family protein	.
Gohir.A01G098300	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT5G64330	JK218NPH3RPT3	Phototropic-responsive NPH3 family protein	Plant growth
Gohir.A01G098800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G55790	none	Domain of unknown function (DUF2431)	.
Gohir.A01G098900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G55790	none	Domain of unknown function (DUF2431)	.
Gohir.A01G099200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G17270	none	Protein prenylyltransferase superfamily protein	.
Gohir.A01G100800	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G79280	AtTPRNUA	nuclear pore anchor	Mutations affect flowering time regulation and other developmental processes. Probably acts in the same pathway as ESD4 in affecting flowering time vegetative and inflorescence development.
Gohir.A01G101500	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G20980	ATSPL14FBR6SPL14SPL1R2	squamosa promoter binding protein-like 14	†It unctions as a transcriptional regulator that plays a role not only in sensitivity to FB1 but also in the development of normal plant architecture.
Gohir.A01G166900	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT2G16700	ADF5ATADF5	actin depolymerizing factor 5	actin depolymerizing factor which affects the elongation pattern of cotton fibers (Augustine et al. 2008; Q.-S. Huang et al. 2014)
Gohir.A01G167000	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT4G34980	SLP2	subtilisin-like serine protease 2	Subtilisin proteases have been associated with cell wall composition in Arabidopsis thaliana specifically the mucilage content of cell walls (Rautengarten et al. 2008). 
Gohir.A01G167600	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT4G38600	KAKUPL3	HEAT repeat ;HECT-domain (ubiquitin-transferase)	encodes a member of HECT ubiquitin protein ligase family that is involved in trichome cell morphogenesis. Mutants in this gene exhibit supernumerary trichome branches and increased DNA content.
Gohir.A02G039200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G04400	AT-PHH1ATCRY2CRY2FHAPHH1	cryptochrome 2	.
Gohir.A02G053300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G16910	AAE7ACN1	acyl-activating enzyme 7	.
Gohir.A02G054200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G66654	none	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein	.
Gohir.A02G055800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G65960	none	GTP binding	.
Gohir.A02G056800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G48090	none	calcium-dependent lipid-binding family protein	.
Gohir.A02G057900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G18500	none	Protein kinase superfamily protein	.
Gohir.A02G059300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G21760	HYR1	UDP-Glycosyltransferase superfamily protein	.
Gohir.A02G069700	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G29470	none	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	.
Gohir.A02G069900	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G21270	WAK2	wall-associated kinase 2	cytoplasmic serine/threonine protein kinase induced by salicylic acid. mutant plants exhibit a loss of cell expansion and dependence on sugars and salts for seedling growth affecting the expression and activity of vacuolar invertase
Gohir.A07G104800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G47340	ASN1AT-ASN1DIN6	glutamine-dependent asparagine synthase 1	.
Gohir.A07G182200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G51550	FER	Malectin/receptor-like protein kinase family protein	.
Gohir.A07G194900	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT5G39740	OLI7RPL5B	ribosomal protein L5 B	Encodes a ribosomal protein RPL5B that is involved in ribosome biogenesis and plays a role in organ size control by promoting cell proliferation and preventing compensation in normal leaf development.
Gohir.A07G196000	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT4G12850	none	Far-red impaired responsive (FAR1) family protein	plant growth; already in MS
Gohir.A07G200300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G04850	none	ubiquitin-associated (UBA)/TS-N domain-containing protein	.
