Row.names	AA	eff	DGE	TF	other	relevance	total	Best.hit.arabi.name	arabi.symbol	arabi.defline	description
Gohir.A08G192800	TRUE	TRUE	TRUE	FALSE	FALSE	1	4	AT2G20190	ATCLASPCLASP	CLIP-associated protein	Encodes a microtubule-associated protein that is involved in both cell division and cell expansion. It likely promotes microtubule stability.
Gohir.A12G115800	TRUE	TRUE	TRUE	FALSE	FALSE	1	4	AT1G01120	KCS1	3-ketoacyl-CoA synthase 1	fatty acid synthesis; embryo development; fiber cell elongation promoted by vlcfa https://doi.org/10.1105/tpc.107.054437
Gohir.D05G268300	TRUE	TRUE	TRUE	FALSE	FALSE	1	4	AT1G78240	OSU1QUA2TSD2	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	a putative methyltransferase with an essential role in cell adhesion and coordinated plant development.
Gohir.D12G263600	TRUE	TRUE	TRUE	FALSE	FALSE	1	4	AT5G51760	AHG1	Protein phosphatase 2C family protein	Expressed in seeds. AHG1 functions in seed development and germination.
Gohir.D12G272900	TRUE	TRUE	FALSE	FALSE	TRUE	1	4	AT1G73360	ATHDG11EDT1HDG11	homeodomain GLABROUS 11	Encodes a homeobox-leucine zipper family protein belonging to the HD-ZIP IV family. It is involved in trichome branching.
Gohir.A05G378100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G78570	ATRHM1RHM1ROL1	rhamnose biosynthesis 1	Encodes a UDP-L-Rhamnose synthase involved in the biosynthesis of rhamnose a major monosaccharide component of pectin
Gohir.A07G104800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G47340	ASN1AT-ASN1DIN6	glutamine-dependent asparagine synthase 1	.
Gohir.A07G109200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G27610	none	Tetratricopeptide repeat (TPR)-like superfamily protein	.
Gohir.A07G109800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G22460	none	alpha/beta-Hydrolases superfamily protein	.
Gohir.A07G112400	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT2G14530	TBL13	TRICHOME BIREFRINGENCE-LIKE 13	members of this gene family are known to be involved in the synthesis and deposition of cellulose in secondary cell walls (Bischoff Selbig and Scheible 2010)
Gohir.A07G112900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G44200	ATNEK6IBO1NEK6	NIMA (never in mitosis gene A)-related 6	.
Gohir.A07G113300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G35940	BLH1EDA29	BEL1-like homeodomain 1	.
Gohir.A07G118000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G27690	VPS26B	vacuolar protein sorting 26B	.
Gohir.A07G123100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G12440	none	CCCH-type zinc fingerfamily protein with RNA-binding domain	.
Gohir.A10G061200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G13690	none	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	.
Gohir.A10G065800	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT3G16340	ATPDR1PDR1	pleiotropic drug resistance 1	Encodes a p-coumaryl alcohol exporter involved in lignin biosynthesis.
Gohir.A12G109400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G58760	none	Integrin-linked protein kinase family	.
Gohir.A12G110000	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT2G46225	ABIL1	ABI-1-like 1	 actin nucleation trichome morphogenesis;
Gohir.A12G111200	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G01430	TBL25	TRICHOME BIREFRINGENCE-LIKE 25	members of this gene family are known to be involved in the synthesis and deposition of cellulose in secondary cell walls (Bischoff Selbig and Scheible 2010)
Gohir.A12G111600	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G61680	none	alpha/beta-Hydrolases superfamily protein	.
Gohir.A12G112000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G61740	ATX3SDG14	SET domain protein 14	.
Gohir.A12G113800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G46600	none	Calcium-binding EF-hand family protein	.
Gohir.A12G113900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G61860	ATRSP31RSP31	RNA-binding (RRM/RBD/RNP motifs) family protein	.
Gohir.A12G117200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G54160	ATOMT1OMT1	O-methyltransferase 1	.
Gohir.A12G117500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G01060	LHYLHY1	Homeodomain-like superfamily protein	.
Gohir.A12G125000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G62420	ATBZIP53BZIP53	basic region/leucine zipper motif 53	.
Gohir.A12G128100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT3G56850	AREB3DPBF3	ABA-responsive element binding protein 3	expressed in Arab seeds
Gohir.A12G129600	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G02816	none	Protein of unknown function DUF538	.
