Row.names	AA	eff	DGE	TF	other	relevance	total	Best.hit.arabi.name	arabi.symbol	arabi.defline	description
Gohir.A08G192800	TRUE	TRUE	TRUE	FALSE	FALSE	1	4	AT2G20190	ATCLASPCLASP	CLIP-associated protein	Encodes a microtubule-associated protein that is involved in both cell division and cell expansion. It likely promotes microtubule stability.
Gohir.A06G070100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G51760	IAR3JR3	peptidase M20/M25/M40 family protein	.
Gohir.A06G071000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G29490	none	Metallopeptidase M24 family protein	.
Gohir.A07G194900	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT5G39740	OLI7RPL5B	ribosomal protein L5 B	Encodes a ribosomal protein RPL5B that is involved in ribosome biogenesis and plays a role in organ size control by promoting cell proliferation and preventing compensation in normal leaf development.
Gohir.A07G196000	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT4G12850	none	Far-red impaired responsive (FAR1) family protein	plant growth; already in MS
Gohir.A08G189000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G58160	ATMYOS3ATXIJMYA3XI-16XIJ	P-loop containing nucleoside triphosphate hydrolases superfamily protein	.
Gohir.A08G189600	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G63450	CYP94B1	cytochrome P450 family 94 subfamily B polypeptide 1	.
Gohir.A08G196000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G09640	APX1BAPX2	ascorbate peroxidase 2	.
Gohir.A08G196300	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT2G27100	SE	C2H2 zinc-finger protein SERRATE (SE)	Further analysis of the single loss of function allele indicated pleiotropic effects extending to many aspects of shoot development such as taller meristems alterations in phase transition phyllotaxy and branching
Gohir.A08G196500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G27090	none	Protein of unknown function (DUF630 and DUF632)	.
Gohir.D12G158000	TRUE	TRUE	FALSE	TRUE	FALSE	0	3	AT1G67970	AT-HSFA8HSFA8	heat shock transcription factor  A8	.
Gohir.D12G159500	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G05230	HDG2	homeodomain GLABROUS 2	Encodes a homeobox-leucine zipper family protein belonging to the HD-ZIP IV family. Mutants have trichomes that appear glass-like under a dissecting microscope as compared to the wild-type trichomes. The mutations do not affect trichome growth or branch number.
Gohir.D12G160100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT3G21700	ATSGP2SGP2	Ras-related small GTP-binding family protein	Expressed in root epidermal cells that are destined to become atrichoblasts. Also expressed during pollen development and in the pollen tube tip.
Gohir.A06G063500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G10950	none	Zinc-binding ribosomal protein family protein	.
Gohir.A06G063800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G13240	ATROPGEF9ROPGEF9	RHO guanyl-nucleotide exchange factor 9	.
Gohir.A06G063900	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G11520	ASP3YLS4	aspartate aminotransferase 3	.
Gohir.A06G064200	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G29000	none	Tesmin/TSO1-like CXC domain-containing protein	.
Gohir.A06G065300	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G67280	none	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein	.
Gohir.A06G065400	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G20050	none	protein serine/threonine phosphatases;protein kinases;catalytics;cAMP-dependent protein kinase regulators;ATP binding;protein serine/threonine phosphatases	.
Gohir.A06G065500	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT4G28890	none	RING/U-box superfamily protein	.
Gohir.A06G066100	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT2G20010	none	Protein of unknown function (DUF810)	.
Gohir.A06G066800	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G56290	none	CwfJ-like family protein	.
