Row.names	AA	eff	DGE	TF	other	relevance	total	Best.hit.arabi.name	arabi.symbol	arabi.defline	description
Gohir.A01G097100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G03240	none	EXS (ERD1/XPR1/SYG1) family protein	.
Gohir.A01G098300	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT5G64330	JK218NPH3RPT3	Phototropic-responsive NPH3 family protein	Plant growth
Gohir.A01G098800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G55790	none	Domain of unknown function (DUF2431)	.
Gohir.A01G098900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G55790	none	Domain of unknown function (DUF2431)	.
Gohir.A01G099200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G17270	none	Protein prenylyltransferase superfamily protein	.
Gohir.A01G100800	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G79280	AtTPRNUA	nuclear pore anchor	Mutations affect flowering time regulation and other developmental processes. Probably acts in the same pathway as ESD4 in affecting flowering time vegetative and inflorescence development.
Gohir.A01G101500	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G20980	ATSPL14FBR6SPL14SPL1R2	squamosa promoter binding protein-like 14	†It unctions as a transcriptional regulator that plays a role not only in sensitivity to FB1 but also in the development of normal plant architecture.
Gohir.A01G101900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G33620	none	AT hook motif DNA-binding family protein	.
Gohir.A01G103800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G20760	none	Calcium-binding EF hand family protein	.
Gohir.A01G105100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G50160	none	Plant protein of unknown function (DUF247)	.
Gohir.A01G107000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G35240	none	Protein of unknown function (DUF630 and DUF632)	.
Gohir.A01G140400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G38280	ATAMPDFAC1	AMP deaminase putative / myoadenylate deaminase putative	.
Gohir.A01G144900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G59960	none	NAD(P)-linked oxidoreductase superfamily protein	.
Gohir.A01G145200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G01940	ATIDD15SGR5	C2H2-like zinc finger protein	.
Gohir.A01G145400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G45220	none	Plant invertase/pectin methylesterase inhibitor superfamily	.
Gohir.A01G166900	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT2G16700	ADF5ATADF5	actin depolymerizing factor 5	actin depolymerizing factor which affects the elongation pattern of cotton fibers (Augustine et al. 2008; Q.-S. Huang et al. 2014)
Gohir.A01G167000	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT4G34980	SLP2	subtilisin-like serine protease 2	Subtilisin proteases have been associated with cell wall composition in Arabidopsis thaliana specifically the mucilage content of cell walls (Rautengarten et al. 2008). 
Gohir.A01G167600	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT4G38600	KAKUPL3	HEAT repeat ;HECT-domain (ubiquitin-transferase)	encodes a member of HECT ubiquitin protein ligase family that is involved in trichome cell morphogenesis. Mutants in this gene exhibit supernumerary trichome branches and increased DNA content.
Gohir.D05G206900	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT5G67090	none	Subtilisin-like serine endopeptidase family protein	Subtilisin proteases have been associated with cell wall composition in Arabidopsis thaliana specifically the mucilage content of cell walls (Rautengarten et al. 2008). 
Gohir.D05G208100	FALSE	TRUE	TRUE	FALSE	FALSE	1	3	AT5G47820	FRA1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	Protein is localized to the periphery of the cytoplasm and mutants in the gene exhibit altered orientation of cellulose microfibrils and reduced mechanical strength of fibers.
Gohir.D08G034000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G30210	AR2ATR2	P450 reductase 2	.
Gohir.D08G040400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G44900	ARABIDILLO-1	ARABIDILLO-1	.
Gohir.D08G042200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G00090	none	Transducin/WD40 repeat-like superfamily protein	.
Gohir.D08G042500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G60680	none	Plant protein of unknown function (DUF641)	.
Gohir.D08G042600	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G60860	none	SEC7-like guanine nucleotide exchange family protein	.
Gohir.D08G042700	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G01950	ARK2	armadillo repeat kinesin 2	Encodes a member of the armadillo/beta-catenin repeat kinesin motor family. Mutants have twisted roots due to abnormal cell file rotation; the phenotype is dependent on microtubules
Gohir.D08G050200	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G02400	ATGA2OX4ATGA2OX6DTA1GA2OX6	gibberellin 2-oxidase 6	Development of cotton fibers is positively affected by a number of phytohormones including auxin gibberellins and brassinosteroids (BRs) (Delanghe 1986 Sun et al. 2004). Sun 2005 Plant Cell & Phys
Gohir.D08G054900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G14230	none	CBS domain-containing protein with a domain of unknown function (DUF21)	.
