Row.names	AA	eff	DGE	TF	other	relevance	total	Best.hit.arabi.name	arabi.symbol	arabi.defline	description
Gohir.D08G201300	FALSE	TRUE	TRUE	FALSE	TRUE	1	4	AT5G41315	GL3MYC6.2	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	encodes a basic helix loop helix domain protein that interacts with GL1 in trichome development.
Gohir.D08G210800	TRUE	TRUE	TRUE	FALSE	FALSE	1	4	AT2G20190	ATCLASPCLASP	CLIP-associated protein	Encodes a microtubule-associated protein that is involved in both cell division and cell expansion. It likely promotes microtubule stability.
Gohir.D10G096900	TRUE	TRUE	FALSE	TRUE	FALSE	1	4	AT4G36920	AP2FL1FLO2	Integrase-type DNA-binding superfamily protein	AP2 also has a role in controlling seed mass
Gohir.D11G225100	TRUE	TRUE	TRUE	FALSE	FALSE	1	4	AT2G22125	CSI1	binding	Encodes a protein involved in cell elongation in root and anther filaments. Mutants have greater cell volumes in root tissues and have additive phenotypes with other cell expansion mutants such as those carrying mutations in COB QUI and POM1 loci. POM2/CSI1 promotes Cellulose Synthase and microtubule co-alignment.
Gohir.A05G172500	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT3G25290	none	Auxin-responsive family protein	plant growth; already in MS
Gohir.A06G070100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G51760	IAR3JR3	peptidase M20/M25/M40 family protein	.
Gohir.A06G071000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G29490	none	Metallopeptidase M24 family protein	.
Gohir.A07G113300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G35940	BLH1EDA29	BEL1-like homeodomain 1	.
Gohir.A07G118000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G27690	VPS26B	vacuolar protein sorting 26B	.
Gohir.A07G123100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G12440	none	CCCH-type zinc fingerfamily protein with RNA-binding domain	.
Gohir.A07G126300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G33390	ATFAS4FAS4	RNA helicase family protein	.
Gohir.A07G130700	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G02500	AtSAM1MAT1SAM-1SAM1	S-adenosylmethionine synthetase 1	.
Gohir.A07G131500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G01720	AtWRKY47WRKY47	WRKY family transcription factor	.
Gohir.A07G175500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G66840	none	Plant protein of unknown function (DUF827)	.
Gohir.A07G178100	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G02360	none	6-phosphogluconate dehydrogenase family protein	.
Gohir.D01G100500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G62280	SLAH1	SLAC1 homologue 1	.
Gohir.D01G103100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G19580	GAMMA CA1	gamma carbonic anhydrase 1	Encodes a transcription factor (IAA24) mediating embryo axis formation and vascular development
Gohir.D01G106000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G47530	none	MATE efflux family protein	.
Gohir.D04G022900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G34260	none	transducin family protein / WD-40 repeat family protein	.
Gohir.D04G032300	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT5G64020	TBL14	TRICHOME BIREFRINGENCE-LIKE 14	members of this gene family are known to be involved in the synthesis and deposition of cellulose in secondary cell walls (Bischoff Selbig and Scheible 2010)
Gohir.D04G041000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G14440	AtHB31HB31	homeobox protein 31	.
Gohir.D04G043800	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G02100	none	UDP-Glycosyltransferase superfamily protein	.
Gohir.D04G045900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G29240	none	Protein of unknown function (DUF179)	.
Gohir.D04G046400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G01100	ATHYP1HYP1	hypothetical protein 1	.
Gohir.D04G060400	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT3G55090	none	ABC-2 type transporter family protein	Belongs to a clade of five Arabidopsis thaliana ABCG half-transporters that are required for synthesis of an effective suberin barrier in roots and seed coats (ABCG2 ABCG6 and ABCG20) and for synthesis of an intact pollen wall (ABCG1 and ABCG16).
Gohir.D04G063500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G48670	IDN2RDM12	XH/XS domain-containing protein	.
Gohir.D04G065100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G07410	ATRAB-A2BATRABA2BRAB-A2BRABA2b	RAB GTPase homolog A2B	these genes influence the cell wall composition (both)
Gohir.D04G070400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G09870	none	histidine acid phosphatase family protein	.
Gohir.D05G100800	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT2G27100	SE	C2H2 zinc-finger protein SERRATE (SE)	Further analysis of the single loss of function allele indicated pleiotropic effects extending to many aspects of shoot development such as taller meristems alterations in phase transition phyllotaxy and branching
Gohir.D05G101500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G27040	AGO4OCP11	Argonaute family protein	.
Gohir.D05G103900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G28315	none	Nucleotide/sugar transporter family protein	.
Gohir.D05G107000	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT2G28110	FRA8IRX7	Exostosin family protein	It is expressed specifically in developing vessels and fiber cells and FRA8 is targeted to Golgi. Mutants have irregular xylem formation reduced cellulose levels and plants are smaller than normal siblings.
Gohir.D05G108300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G18640	MRH1	Leucine-rich repeat protein kinase family protein	.
Gohir.D05G110900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G21160	AGD12ZAC	Calcium-dependent ARF-type GTPase activating protein family	.
Gohir.D08G034000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G30210	AR2ATR2	P450 reductase 2	.
Gohir.D08G040400	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT2G44900	ARABIDILLO-1	ARABIDILLO-1	.
Gohir.D08G042200	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G00090	none	Transducin/WD40 repeat-like superfamily protein	.
Gohir.D08G042500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G60680	none	Plant protein of unknown function (DUF641)	.
Gohir.D08G042600	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G60860	none	SEC7-like guanine nucleotide exchange family protein	.
Gohir.D08G042700	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G01950	ARK2	armadillo repeat kinesin 2	Encodes a member of the armadillo/beta-catenin repeat kinesin motor family. Mutants have twisted roots due to abnormal cell file rotation; the phenotype is dependent on microtubules
Gohir.D08G050200	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G02400	ATGA2OX4ATGA2OX6DTA1GA2OX6	gibberellin 2-oxidase 6	Development of cotton fibers is positively affected by a number of phytohormones including auxin gibberellins and brassinosteroids (BRs) (Delanghe 1986 Sun et al. 2004). Sun 2005 Plant Cell & Phys
Gohir.D08G054900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G14230	none	CBS domain-containing protein with a domain of unknown function (DUF21)	.
Gohir.D08G055500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT3G63340	none	Protein phosphatase 2C family protein	.
Gohir.D08G055600	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G03060	SPI	Beige/BEACH domain ;WD domain G-beta repeat protein	INVOLVED IN: signal transduction multidimensional cell growth vacuole organization trichome morphogenesis;†
Gohir.D08G057700	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT5G60340	none	P-loop containing nucleoside triphosphate hydrolases superfamily protein	ncodes a nuclear adenylate kinase that interacts with a putative homolog of Rps14 AtRPS14-1 and affects the elongation of cells in the stem.
Gohir.D08G058900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G18550	none	alpha/beta-Hydrolases superfamily protein	.
Gohir.D08G198000	TRUE	TRUE	FALSE	TRUE	FALSE	0	3	AT4G11660	AT-HSFB2BHSFB2B	winged-helix DNA-binding transcription factor family protein	.
Gohir.D08G200300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G41210	ATGSTT1GST10GSTT1	glutathione S-transferase THETA 1	.
Gohir.D08G212500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G48740	none	Leucine-rich repeat protein kinase family protein	.
Gohir.D08G213900	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G21105	none	Plant L-ascorbate oxidase	.
Gohir.D10G096400	TRUE	TRUE	FALSE	TRUE	FALSE	0	3	AT4G36990	AT-HSFB1ATHSF4HSF4HSFB1	heat shock factor 4	.
Gohir.D10G099100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT4G37770	ACS8	1-amino-cyclopropane-1-carboxylate synthase 8	ethylene biosynthesis
Gohir.D11G221800	FALSE	TRUE	TRUE	FALSE	FALSE	1	3	AT5G65020	ANNAT2	annexin 2	A cotton annexin protein AnxGb6 regulates fiber elongation through its interaction with actin 1 Huang 2013; Zhang 2016 a cotton annexin affects fiber elongation
Gohir.D11G222000	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT4G39850	ACN2AtABCD1CTSPED3PXA1	peroxisomal ABC transporter 1	.
Gohir.D11G224800	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G22130	AGL104	AGAMOUS-like 104	·cotton·AG-like genes might act regulating fruit formation and are differentially responsive to hormones; Menezes de Moura 2017 Plant Reproduction
Gohir.D12G158000	TRUE	TRUE	FALSE	TRUE	FALSE	0	3	AT1G67970	AT-HSFA8HSFA8	heat shock transcription factor  A8	.
Gohir.D12G159500	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G05230	HDG2	homeodomain GLABROUS 2	Encodes a homeobox-leucine zipper family protein belonging to the HD-ZIP IV family. Mutants have trichomes that appear glass-like under a dissecting microscope as compared to the wild-type trichomes. The mutations do not affect trichome growth or branch number.
Gohir.D12G160100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT3G21700	ATSGP2SGP2	Ras-related small GTP-binding family protein	Expressed in root epidermal cells that are destined to become atrichoblasts. Also expressed during pollen development and in the pollen tube tip.
Gohir.D13G069600	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G68820	none	Transmembrane Fragile-X-F-associated protein	.
Gohir.D13G072100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT1G14380	IQD28	IQ-domain 28	Encodes a microtubule-associated protein.
Gohir.D13G170300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT5G18280	APY2ATAPY2	apyrase 2	.
Gohir.D13G173300	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G09770	ATCDC5ATMYBCDC5CDC5	cell division cycle 5	.
Gohir.D13G177500	TRUE	TRUE	TRUE	FALSE	FALSE	0	3	AT1G64760	none	O-Glycosyl hydrolases family 17 protein	.
Gohir.D13G195400	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT2G26250	FDHKCS10	3-ketoacyl-CoA synthase 10	fatty acid synthesis; embryo development; fiber cell elongation promoted by vlcfa https://doi.org/10.1105/tpc.107.054437
Gohir.D13G196100	TRUE	TRUE	FALSE	FALSE	FALSE	1	3	AT3G43210	ATNACK2NACK2TES	ATP binding microtubule motor family protein	Encodes a kinesin TETRASPORE. Required for cytokinesis in pollen
Gohir.D13G197500	TRUE	TRUE	FALSE	TRUE	FALSE	0	3	AT1G72830	ATHAP2CHAP2CNF-YA3	nuclear factor Y subunit A3	.
Gohir.A04G048900	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT3G12920	none	SBP (S-ribonuclease binding protein) family protein	.
Gohir.A04G049100	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT1G18870	ATICS2ICS2	isochorismate synthase 2	.
Gohir.A04G049300	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G16300	none	Vps51/Vps67 family (components of vesicular transport) protein	.
Gohir.A04G049600	TRUE	TRUE	FALSE	FALSE	FALSE	0	2	AT5G34885	none	Protein of unknown function (DUF784)	.
