# Generated by GMAP version 2018-07-04 using call:  gmap.avx2 -D . -d A2 -t 150 -n 2 -f 4 QTLtargetseqsFixed.fasta							
LG	Marker	Position	Chr	 Start 	 End 	% ID	
AZ01	AZ01/IA1_2_c2_34964_0	0	Chr12	" 102,266,110 "	" 102,266,382 "	99	ID=AZ1/IA1_2_c2_34964_0.path1;Name=AZ1/IA1_2_c2_34964_0;Target=AZ1/IA1_2_c2_34964_0 1 273 -;Gap=M273;coverage=100.0;identity=99.6;matches=271;mismatches=1;indels=0;unknowns=1
AZ01	AZ01/IA1_2_c3_76188_52.035	52.035	Chr12	" 93,506,552 "	" 93,506,887 "	85	ID=AZ1/IA1_2_c3_76188_52.035.path1;Name=AZ1/IA1_2_c3_76188_52.035;Target=AZ1/IA1_2_c3_76188_52.035 1 295 +;Gap=M44 I1 M54 D42 M86 D1 M69 I1 M40;coverage=100.0;identity=85.1;matches=285;mismatches=5;indels=45;unknowns=3
AZ01	AZ01/IA1_2_c4_02426_55.302	55.302	Chr04	" 37,533,684 "	" 38,585,727 "	92	ID=AZ1/IA1_2_c4_02426_55.302.path1;Name=AZ1/IA1_2_c4_02426_55.302;Target=AZ1/IA1_2_c4_02426_55.302 9 296 -;Gap=M80 N4559 M9 N14476 M3 N38959 M4 N7491 M6 N3713 M12 N982574 M158;coverage=95.7;identity=92.6;matches=249;mismatches=20;indels=0;unknowns=3
AZ01	AZ01/IA1_2_c4_02426_55.302	55.302	Chr02	" 40,249,046 "	" 40,260,033 "	88	ID=AZ1/IA1_2_c4_02426_55.302.path2;Name=AZ1/IA1_2_c4_02426_55.302;Target=AZ1/IA1_2_c4_02426_55.302 1 301 -;Gap=M79 N6180 M1 N3999 M2 N543 M99 I1 M85;coverage=100.0;identity=90.5;matches=239;mismatches=24;indels=1;unknowns=3
AZ01	AZ01/IA1_2_c4_36660_56.141	56.141	Chr12	" 73,523,828 "	" 73,524,124 "	97	ID=AZ1/IA1_2_c4_36660_56.141.path1;Name=AZ1/IA1_2_c4_36660_56.141;Target=AZ1/IA1_2_c4_36660_56.141 1 301 -;Gap=M103 I1 M33 I2 M107 I1 M54;coverage=100.0;identity=97.7;matches=293;mismatches=3;indels=4;unknowns=1
AZ01	AZ01/IA1_2_c2_11637_57.406	57.406	Chr12	" 80,857,716 "	" 80,858,011 "	98	ID=AZ1/IA1_2_c2_11637_57.406.path1;Name=AZ1/IA1_2_c2_11637_57.406;Target=AZ1/IA1_2_c2_11637_57.406 1 296 -;Gap=M296;coverage=99.3;identity=98.6;matches=290;mismatches=4;indels=0;unknowns=2
AZ01	AZ01/IA1_2_EST1A_00152_58.817_Cotton16_00152_01	58.817	Chr12	" 31,172,453 "	" 31,174,029 "	98	ID=AZ1/IA1_2_EST1A_00152_58.817_Cotton16_00152_01.path1;Name=AZ1/IA1_2_EST1A_00152_58.817_Cotton16_00152_01;Target=AZ1/IA1_2_EST1A_00152_58.817_Cotton16_00152_01 49 1628 -;Gap=M34 D1 M1310 I4 M232;coverage=97.1;identity=98.6;matches=1559;mismatches=17;indels=5;unknowns=0
AZ01	AZ01/IA1_2_GS2D_22731p558q11_70.159	70.159	Chr12	" 25,899,834 "	" 25,900,645 "	99	ID=AZ1/IA1_2_GS2D_22731p558q11_70.159.path1;Name=AZ1/IA1_2_GS2D_22731p558q11_70.159;Target=AZ1/IA1_2_GS2D_22731p558q11_70.159 1 601 -;Gap=M374 N118 M137 N93 M90;coverage=100.0;identity=99.8;matches=591;mismatches=1;indels=0;unknowns=9
AZ01	AZ01/IA1_2_GS2A_37259p664q5_95.199	95.199	Chr12	" 13,986,378 "	" 13,987,083 "	100	ID=AZ1/IA1_2_GS2A_37259p664q5_95.199.path1;Name=AZ1/IA1_2_GS2A_37259p664q5_95.199;Target=AZ1/IA1_2_GS2A_37259p664q5_95.199 1 600 -;Gap=M403 N106 M197;coverage=99.8;identity=99.8;matches=571;mismatches=1;indels=0;unknowns=28
AZ01	AZ01/IA1_2_GS2A_2514p880q5_95.221	95.221	Chr12	" 12,702,389 "	" 12,702,989 "	100	ID=AZ1/IA1_2_GS2A_2514p880q5_95.221.path1;Name=AZ1/IA1_2_GS2A_2514p880q5_95.221;Target=AZ1/IA1_2_GS2A_2514p880q5_95.221 1 601 +;Gap=M601;coverage=100.0;identity=100.0;matches=596;mismatches=0;indels=0;unknowns=5
AZ01	AZ01/IA1_2_GS1A_35252p459q21_116.727	116.727	Chr12	" 2,790,591 "	" 2,791,264 "	100	ID=AZ1/IA1_2_GS1A_35252p459q21_116.727.path1;Name=AZ1/IA1_2_GS1A_35252p459q21_116.727;Target=AZ1/IA1_2_GS1A_35252p459q21_116.727 1 601 -;Gap=M426 N73 M175;coverage=100.0;identity=100.0;matches=581;mismatches=0;indels=0;unknowns=20
AZ01	AZ01/IA1_2_GS1A_45602p538q15_117.787	117.787	Chr12	" 2,679,230 "	" 2,680,573 "	100	ID=AZ1/IA1_2_GS1A_45602p538q15_117.787.path1;Name=AZ1/IA1_2_GS1A_45602p538q15_117.787;Target=AZ1/IA1_2_GS1A_45602p538q15_117.787 1 601 -;Gap=M163 D1 M38 D1 M226 N652 M136 N89 M38;coverage=100.0;identity=99.7;matches=586;mismatches=0;indels=2;unknowns=15
AZ01	AZ01/IA1_2_c4_63363_137.446	137.446	Chr12	" 4,986,378 "	" 4,986,664 "	95	ID=AZ1/IA1_2_c4_63363_137.446.path1;Name=AZ1/IA1_2_c4_63363_137.446;Target=AZ1/IA1_2_c4_63363_137.446 1 293 +;Gap=M24 I1 M2 I1 M103 I1 M19 I1 M45 I1 M31 I1 M63;coverage=100.0;identity=95.9;matches=280;mismatches=6;indels=6;unknowns=1
							
AZ02	AZ02/IA3_c4_05109_0	0	Chr13	" 115,163,904 "	" 115,164,122 "	80	ID=AZ2/IA3_c4_05109_0.path1;Name=AZ2/IA3_c4_05109_0;Target=AZ2/IA3_c4_05109_0 26 244 +;Gap=M219;coverage=72.8;identity=80.6;matches=175;mismatches=42;indels=0;unknowns=2
AZ02	AZ02/IA3_c4_05109_0	0	Chr07	" 53,421,439 "	" 53,421,491 "	84	ID=AZ2/IA3_c4_05109_0.path2;Name=AZ2/IA3_c4_05109_0;Target=AZ2/IA3_c4_05109_0 245 297 +;Gap=M53;coverage=17.6;identity=84.9;matches=45;mismatches=8;indels=0;unknowns=0
